region_id,centroid_x,centroid_y,Coal Deposits,Evaporites Deposits,Glacial Deposits,Elevation,Sqrt Elevation,Dist to Shore,Sqrt Dist,Sin Angle Shore,Cos Angle Shore
1,-11.81,-50.74,0.0,0.0,0.0,0.00,0.00,175.70,13.26,-0.74,-0.68
2,-9.16,-50.74,0.0,0.0,0.0,0.00,0.00,172.67,13.14,-0.95,-0.32
3,-9.16,-48.23,0.0,0.0,0.0,0.00,0.00,250.24,15.82,-0.99,-0.17
4,-6.53,-48.23,0.0,0.0,0.0,0.00,0.00,59.81,7.73,0.93,0.37
5,-9.16,-45.72,0.0,0.0,0.0,0.00,0.00,326.28,18.06,-0.85,-0.53
6,-6.53,-45.72,0.0,0.0,0.0,0.00,0.00,134.15,11.58,-0.95,-0.32
7,69.02,-45.72,0.0,0.0,0.0,200.00,14.14,68.03,8.25,-0.08,-1.00
8,-62.55,-43.21,0.0,0.0,0.0,302.30,17.39,131.40,11.46,-0.96,-0.28
9,-57.32,-43.21,0.0,0.0,0.0,297.75,17.26,114.80,10.71,-0.90,0.43
10,-52.75,-43.21,0.0,0.0,0.0,364.24,19.09,119.84,10.95,-1.00,-0.08
11,-48.63,-43.21,0.0,0.0,0.0,518.44,22.77,84.78,9.21,-0.96,-0.30
12,-41.25,-43.21,0.0,0.0,0.0,0.00,0.00,62.02,7.88,-1.00,-0.06
13,-22.74,-43.21,0.0,0.0,0.0,558.42,23.63,174.88,13.22,-0.76,-0.65
14,-19.94,-43.21,0.0,0.0,0.0,376.19,19.40,209.14,14.46,-0.99,0.12
15,-17.19,-43.21,0.0,0.0,0.0,200.00,14.14,125.76,11.21,0.97,0.26
16,-9.16,-43.21,0.0,0.0,0.0,165.64,12.87,164.88,12.84,-0.91,-0.41
17,-6.53,-43.21,0.0,0.0,0.0,200.00,14.14,121.83,11.04,-0.94,-0.34
18,69.02,-43.21,0.0,0.0,0.0,200.00,14.14,94.87,9.74,-0.63,-0.78
19,-69.02,-40.70,0.0,0.0,0.0,505.68,22.49,78.55,8.86,-0.97,-0.26
20,-62.55,-40.70,0.0,0.0,0.0,478.47,21.87,253.86,15.93,-0.96,0.26
21,-57.32,-40.70,0.0,0.0,0.0,439.41,20.96,259.61,16.11,-0.99,0.16
22,-52.75,-40.70,0.0,0.0,0.0,797.34,28.24,288.41,16.98,-1.00,-0.06
23,-48.63,-40.70,0.0,0.0,0.0,427.63,20.68,261.36,16.17,-0.70,0.72
24,-44.82,-40.70,0.0,0.0,0.0,322.78,17.97,96.42,9.82,-0.98,-0.21
25,-41.25,-40.70,0.0,0.0,0.0,246.31,15.69,107.32,10.36,-0.62,-0.78
26,-25.59,-40.70,0.0,0.0,0.0,454.02,21.31,157.57,12.55,-0.14,-0.99
27,-22.74,-40.70,0.0,0.0,0.0,200.00,14.14,377.09,19.42,-0.78,-0.62
28,-19.94,-40.70,0.0,0.0,0.0,200.00,14.14,368.19,19.19,-0.40,0.92
29,-17.19,-40.70,0.0,0.0,0.0,200.00,14.14,141.08,11.88,-0.24,0.97
30,-9.16,-40.70,0.0,0.0,0.0,722.75,26.88,282.68,16.81,-0.75,-0.67
31,-6.53,-40.70,0.0,0.0,0.0,680.11,26.08,388.06,19.70,-0.68,0.73
32,-3.91,-40.70,0.0,0.0,0.0,200.00,14.14,263.71,16.24,-1.00,-0.02
33,-1.30,-40.70,0.0,0.0,0.0,200.00,14.14,136.68,11.69,-0.97,0.22
34,1.30,-40.70,0.0,0.0,0.0,309.91,17.60,232.22,15.24,-0.99,-0.13
35,3.91,-40.70,0.0,0.0,0.0,439.51,20.96,209.72,14.48,-1.00,0.06
36,6.53,-40.70,0.0,0.0,0.0,974.69,31.22,202.97,14.25,-0.96,-0.28
37,9.16,-40.70,0.0,0.0,0.0,645.71,25.41,283.89,16.85,-1.00,-0.03
38,11.81,-40.70,0.0,0.0,0.0,641.50,25.33,262.58,16.20,-0.99,0.12
39,17.19,-40.70,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.95,0.32
40,37.87,-40.70,0.0,0.0,0.0,0.00,0.00,60.80,7.80,-0.98,-0.20
41,69.02,-40.70,0.0,0.0,0.0,200.00,14.14,135.86,11.66,-0.22,0.98
42,-69.02,-38.19,0.0,0.0,0.0,379.49,19.48,176.71,13.29,-0.99,-0.14
43,-62.55,-38.19,0.0,0.0,0.0,332.57,18.24,379.90,19.49,-0.99,0.14
44,-57.32,-38.19,0.0,0.0,0.0,597.95,24.45,409.29,20.23,-1.00,0.07
45,-52.75,-38.19,0.0,0.0,0.0,546.36,23.37,457.03,21.38,-1.00,-0.07
46,-48.63,-38.19,0.0,0.0,0.0,200.00,14.14,413.28,20.33,-0.90,0.43
47,-44.82,-38.19,0.0,0.0,0.0,200.00,14.14,292.77,17.11,-1.00,-0.09
48,-41.25,-38.19,0.0,0.0,0.0,232.90,15.26,288.01,16.97,-0.95,-0.31
49,-37.87,-38.19,0.0,0.0,0.0,334.89,18.30,180.13,13.42,-0.79,-0.62
50,-34.64,-38.19,0.0,0.0,0.0,93.03,9.64,70.63,8.40,-0.57,-0.82
51,-31.53,-38.19,0.0,0.0,0.0,260.87,16.15,120.61,10.98,-0.93,0.37
52,-25.59,-38.19,0.0,0.0,0.0,388.60,19.71,289.40,17.01,0.02,-1.00
53,-22.74,-38.19,0.0,0.0,0.0,200.00,14.14,547.63,23.40,-0.49,-0.87
54,-19.94,-38.19,0.0,0.0,0.0,200.00,14.14,531.14,23.05,-0.78,0.63
55,-17.19,-38.19,0.0,0.0,0.0,200.00,14.14,331.44,18.21,-0.91,0.41
56,-14.48,-38.19,0.0,0.0,0.0,200.00,14.14,191.19,13.83,-0.97,0.26
57,-11.81,-38.19,0.0,0.0,0.0,109.39,10.46,71.95,8.48,-0.89,-0.46
58,-9.16,-38.19,0.0,0.0,0.0,290.77,17.05,333.80,18.27,-0.19,-0.98
59,-6.53,-38.19,0.0,0.0,0.0,707.27,26.59,611.62,24.73,-0.89,0.46
60,-3.91,-38.19,0.0,0.0,0.0,570.04,23.88,521.90,22.85,-0.79,0.61
61,-1.30,-38.19,0.0,0.0,0.0,306.75,17.51,413.41,20.33,-1.00,0.07
62,1.30,-38.19,0.0,0.0,0.0,802.90,28.34,487.07,22.07,-0.85,-0.53
63,3.91,-38.19,0.0,0.0,0.0,695.67,26.38,487.94,22.09,-1.00,0.03
64,6.53,-38.19,0.0,0.0,0.0,373.72,19.33,475.76,21.81,-0.99,-0.11
65,9.16,-38.19,0.0,0.0,0.0,200.00,14.14,559.39,23.65,-1.00,-0.01
66,11.81,-38.19,0.0,0.0,0.0,200.00,14.14,453.93,21.31,-0.64,0.77
67,14.48,-38.19,0.0,0.0,0.0,200.00,14.14,293.76,17.14,-0.98,0.18
68,17.19,-38.19,0.0,0.0,0.0,200.00,14.14,273.10,16.53,-1.00,-0.10
69,69.02,-38.19,0.0,0.0,0.0,184.56,13.59,111.16,10.54,0.08,1.00
70,-69.02,-35.68,0.0,0.0,0.0,506.83,22.51,275.76,16.61,-0.99,-0.13
71,-62.55,-35.68,0.0,0.0,0.0,200.00,14.14,499.57,22.35,-0.93,-0.37
72,-57.32,-35.68,0.0,0.0,0.0,666.99,25.83,548.27,23.42,-0.92,-0.38
73,-52.75,-35.68,0.0,0.0,0.0,360.31,18.98,623.73,24.97,-0.90,-0.43
74,-48.63,-35.68,0.0,0.0,0.0,200.00,14.14,586.07,24.21,-0.96,0.28
75,-44.82,-35.68,0.0,0.0,0.0,200.00,14.14,490.09,22.14,-1.00,-0.08
76,-41.25,-35.68,0.0,0.0,0.0,200.00,14.14,491.27,22.16,-0.98,-0.20
77,-37.87,-35.68,0.0,0.0,0.0,579.04,24.06,389.20,19.73,-0.89,-0.47
78,-34.64,-35.68,0.0,0.0,0.0,298.75,17.28,283.06,16.82,-0.79,-0.61
79,-31.53,-35.68,0.0,0.0,0.0,233.03,15.27,103.64,10.18,1.00,0.06
80,-25.59,-35.68,0.0,0.0,0.0,200.00,14.14,208.77,14.45,0.25,-0.97
81,-22.74,-35.68,0.0,0.0,0.0,200.00,14.14,522.32,22.85,0.10,-0.99
82,-19.94,-35.68,0.0,0.0,0.0,200.00,14.14,717.62,26.79,-0.80,0.60
83,-17.19,-35.68,0.0,0.0,0.0,200.00,14.14,572.53,23.93,-0.80,0.61
84,-14.48,-35.68,0.0,0.0,0.0,200.00,14.14,427.04,20.67,-0.79,0.61
85,-11.81,-35.68,0.0,0.0,0.0,200.00,14.14,338.62,18.40,-0.99,-0.10
86,-9.16,-35.68,0.0,0.0,0.0,200.00,14.14,471.06,21.70,-0.72,-0.70
87,-6.53,-35.68,0.0,0.0,0.0,200.00,14.14,717.05,26.78,-0.48,-0.88
88,-3.91,-35.68,0.0,0.0,0.0,658.58,25.66,761.46,27.59,-0.91,0.42
89,-1.30,-35.68,0.0,0.0,0.0,530.41,23.03,692.00,26.31,-1.00,0.04
90,1.30,-35.68,0.0,0.0,0.0,365.82,19.13,738.43,27.17,-0.94,-0.35
91,3.91,-35.68,0.0,0.0,0.0,200.00,14.14,766.31,27.68,-1.00,0.02
92,6.53,-35.68,0.0,0.0,0.0,200.00,14.14,751.95,27.42,-1.00,-0.07
93,9.16,-35.68,0.0,0.0,0.0,200.00,14.14,825.01,28.72,-0.91,-0.42
94,11.81,-35.68,0.0,0.0,0.0,200.00,14.14,661.62,25.72,-0.84,0.54
95,14.48,-35.68,0.0,0.0,0.0,200.00,14.14,561.57,23.70,-0.99,0.10
96,17.19,-35.68,0.0,0.0,0.0,200.00,14.14,415.29,20.38,-0.71,0.70
97,19.94,-35.68,0.0,0.0,0.0,272.19,16.50,295.11,17.18,-1.00,-0.04
98,22.74,-35.68,0.0,0.0,0.0,371.22,19.27,112.88,10.62,-0.42,0.91
99,25.59,-35.68,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-1.00,0.02
100,34.64,-35.68,0.0,0.0,0.0,374.02,19.34,118.68,10.89,0.31,-0.95
101,37.87,-35.68,0.0,0.0,0.0,437.52,20.92,113.17,10.64,-0.99,0.13
102,41.25,-35.68,0.0,0.0,0.0,446.75,21.14,88.15,9.39,-0.79,0.61
103,69.02,-35.68,0.0,0.0,0.0,0.00,0.00,37.02,6.08,0.81,-0.58
104,-69.02,-33.17,0.0,0.0,0.0,409.41,20.23,374.90,19.36,-0.99,-0.13
105,-62.55,-33.17,0.0,0.0,0.0,200.00,14.14,620.10,24.90,-0.94,-0.33
106,-57.32,-33.17,0.0,0.0,0.0,614.35,24.79,689.06,26.25,-0.94,-0.34
107,-52.75,-33.17,0.0,0.0,0.0,200.00,14.14,778.31,27.90,-0.93,-0.38
108,-48.63,-33.17,0.0,0.0,0.0,200.00,14.14,765.62,27.67,-0.98,0.18
109,-44.82,-33.17,0.0,0.0,0.0,200.00,14.14,687.44,26.22,-1.00,-0.08
110,-41.25,-33.17,0.0,0.0,0.0,200.00,14.14,697.54,26.41,-0.99,-0.17
111,-37.87,-33.17,0.0,0.0,0.0,200.00,14.14,607.04,24.64,-0.92,-0.38
112,-34.64,-33.17,0.0,0.0,0.0,200.00,14.14,347.30,18.64,-0.13,0.99
113,-28.52,-33.17,0.0,0.0,0.0,200.00,14.14,109.16,10.45,-1.00,0.04
114,-25.59,-33.17,0.0,0.0,0.0,200.00,14.14,233.28,15.27,-0.43,-0.90
115,-22.74,-33.17,0.0,0.0,0.0,200.00,14.14,537.56,23.19,-0.19,-0.98
116,-19.94,-33.17,0.0,0.0,0.0,200.00,14.14,845.12,29.07,-0.12,-0.99
117,-17.19,-33.17,0.0,0.0,0.0,200.00,14.14,801.86,28.32,-0.91,0.42
118,-14.48,-33.17,0.0,0.0,0.0,200.00,14.14,661.98,25.73,-0.92,0.39
119,-11.81,-33.17,0.0,0.0,0.0,200.00,14.14,610.94,24.72,-1.00,-0.06
120,-9.16,-33.17,0.0,0.0,0.0,200.00,14.14,694.85,26.36,-0.88,-0.48
121,-6.53,-33.17,0.0,0.0,0.0,200.00,14.14,877.74,29.63,-0.70,-0.71
122,-3.91,-33.17,0.0,0.0,0.0,566.75,23.81,1021.15,31.96,-0.95,0.31
123,-1.30,-33.17,0.0,0.0,0.0,831.20,28.83,970.85,31.16,-1.00,0.03
124,1.30,-33.17,0.0,0.0,0.0,315.78,17.77,1004.53,31.69,-0.97,-0.26
125,3.91,-33.17,0.0,0.0,0.0,200.00,14.14,1044.46,32.32,-0.99,0.12
126,6.53,-33.17,0.0,0.0,0.0,200.00,14.14,1028.80,32.07,-1.00,-0.05
127,9.16,-33.17,0.0,0.0,0.0,200.00,14.14,1056.29,32.50,-0.79,0.62
128,11.81,-33.17,0.0,0.0,0.0,200.00,14.14,903.78,30.06,-0.92,0.40
129,14.48,-33.17,0.0,0.0,0.0,200.00,14.14,818.42,28.61,-0.68,0.73
130,17.19,-33.17,0.0,0.0,0.0,200.00,14.14,632.27,25.15,-0.88,0.47
131,19.94,-33.17,0.0,0.0,0.0,200.00,14.14,515.12,22.70,-0.59,0.81
132,22.74,-33.17,0.0,0.0,0.0,200.00,14.14,321.27,17.92,-0.94,0.33
133,25.59,-33.17,0.0,0.0,0.0,200.00,14.14,273.11,16.53,-0.59,0.81
134,28.52,-33.17,0.0,0.0,0.0,195.30,13.98,116.11,10.78,-0.35,0.94
135,31.53,-33.17,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.99,0.16
136,37.87,-33.17,0.0,0.0,0.0,200.00,14.14,157.41,12.55,0.16,-0.99
137,41.25,-33.17,0.0,0.0,0.0,279.81,16.73,284.15,16.86,-0.98,0.21
138,-69.02,-30.66,0.0,0.0,0.0,383.33,19.58,473.95,21.77,-0.99,-0.14
139,-62.55,-30.66,0.0,0.0,0.0,200.00,14.14,740.37,27.21,-0.89,-0.46
140,-57.32,-30.66,0.0,0.0,0.0,526.36,22.94,831.77,28.84,-0.95,-0.31
141,-52.75,-30.66,0.0,0.0,0.0,200.00,14.14,935.98,30.59,-0.94,-0.34
142,-48.63,-30.66,0.0,0.0,0.0,200.00,14.14,944.82,30.74,-0.93,0.36
143,-44.82,-30.66,0.0,0.0,0.0,200.00,14.14,884.67,29.74,-1.00,-0.09
144,-41.25,-30.66,0.0,0.0,0.0,200.00,14.14,904.66,30.08,-0.99,-0.15
145,-37.87,-30.66,0.0,0.0,0.0,200.00,14.14,754.57,27.47,-0.37,0.93
146,-34.64,-30.66,0.0,0.0,0.0,200.00,14.14,442.04,21.02,-0.64,0.77
147,-31.53,-30.66,0.0,0.0,0.0,200.00,14.14,281.71,16.78,-1.00,-0.02
148,-28.52,-30.66,0.0,0.0,0.0,200.00,14.14,292.19,17.09,-0.92,-0.40
149,-25.59,-30.66,0.0,0.0,0.0,200.00,14.14,409.10,20.23,-0.85,-0.53
150,-22.74,-30.66,0.0,0.0,0.0,200.00,14.14,636.07,25.22,-0.55,-0.84
151,-19.94,-30.66,0.0,0.0,0.0,200.00,14.14,912.29,30.20,-0.38,-0.92
