region_id,centroid_x,centroid_y,Coal Deposits,Evaporites Deposits,Glacial Deposits,Elevation,Sqrt Elevation,Dist to Shore,Sqrt Dist,Sin Angle Shore,Cos Angle Shore
1,-52.75,-176.24,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.96,-0.27
2,-48.63,-176.24,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.88,0.48
3,-44.82,-176.24,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.55,0.84
4,-48.63,-173.73,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.75,0.66
5,69.02,-173.73,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.05,-1.00
6,-48.63,-171.22,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.31,0.95
7,-48.63,-168.71,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.45,0.90
8,-44.82,-168.71,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.17,0.99
9,-48.63,-166.20,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.40,0.92
10,-48.63,-163.69,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.06,1.00
11,-48.63,-161.18,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.17,0.99
12,69.02,-158.67,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.47,-0.88
13,69.02,-123.53,1.0,0.0,0.0,1661.10,40.76,331.36,18.20,0.49,-0.87
14,69.02,-116.00,1.0,0.0,0.0,1699.31,41.22,186.47,13.66,-0.14,-0.99
15,62.55,-113.49,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.32,-0.95
16,62.55,-108.47,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.46,-0.89
17,69.02,-108.47,1.0,0.0,0.0,1696.25,41.19,194.88,13.96,0.05,-1.00
18,57.32,-105.96,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.59,-0.81
19,62.55,-105.96,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.31,-0.95
20,69.02,-105.96,1.0,0.0,0.0,1364.19,36.93,202.02,14.21,-0.10,-0.99
21,44.82,-103.45,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-1.00,-0.10
22,37.87,-100.94,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.94,-0.33
23,41.25,-100.94,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.78,-0.63
24,44.82,-100.94,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.99,-0.10
25,62.55,-100.94,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.81,-0.59
26,34.64,-98.43,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.92,-0.39
27,44.82,-98.43,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.99,-0.16
28,48.63,-98.43,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.85,0.52
29,52.75,-98.43,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.69,-0.72
30,62.55,-98.43,1.0,0.0,0.0,1346.91,36.70,59.90,7.74,-0.65,-0.76
31,31.53,-95.92,0.0,1.0,0.0,0.00,0.00,78.82,8.88,-0.92,0.39
32,34.64,-95.92,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.71,-0.70
33,41.25,-95.92,1.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.50,0.87
34,44.82,-95.92,1.0,0.0,0.0,881.01,29.68,83.69,9.15,-0.93,0.37
35,48.63,-95.92,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.96,-0.29
36,52.75,-95.92,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.98,-0.21
37,62.55,-95.92,1.0,0.0,0.0,3231.85,56.85,174.27,13.20,-0.97,-0.24
38,69.02,-95.92,1.0,0.0,0.0,731.87,27.05,464.67,21.56,-0.79,-0.62
39,44.82,-93.41,1.0,0.0,0.0,3321.51,57.63,236.67,15.38,-0.80,0.60
40,48.63,-93.41,1.0,0.0,0.0,1592.68,39.91,107.58,10.37,-0.89,0.46
41,69.02,-93.41,1.0,0.0,0.0,2482.96,49.83,543.64,23.32,0.55,0.83
42,44.82,-90.90,1.0,0.0,0.0,3400.00,58.31,394.86,19.87,-0.64,-0.77
43,52.75,-90.90,1.0,0.0,0.0,3381.69,58.15,247.11,15.72,-0.99,0.16
44,57.32,-90.90,1.0,0.0,0.0,3400.00,58.31,364.78,19.10,-0.94,-0.33
45,34.64,-88.39,1.0,0.0,0.0,1930.68,43.94,528.05,22.98,-1.00,-0.08
