region_id,centroid_x,centroid_y,Coal Deposits,Evaporites Deposits,Glacial Deposits,Elevation,Sqrt Elevation,Dist to Shore,Sqrt Dist,Sin Angle Shore,Cos Angle Shore
1,-44.82,-178.75,1.0,0.0,0.0,371.76,19.28,93.63,9.68,-0.22,0.98
2,-41.25,-178.75,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.97,-0.25
3,-14.48,-178.75,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.25,0.97
4,69.02,-176.24,1.0,0.0,0.0,37.43,6.12,30.55,5.53,-1.00,-0.06
5,69.02,-173.73,1.0,0.0,0.0,219.20,14.81,28.96,5.38,1.00,-0.07
6,57.32,-153.65,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.64,-0.77
7,69.02,-143.61,1.0,0.0,0.0,200.00,14.14,283.92,16.85,-0.94,-0.35
8,62.55,-141.10,1.0,0.0,0.0,600.24,24.50,171.51,13.10,0.94,-0.34
9,69.02,-141.10,1.0,0.0,1.0,200.00,14.14,379.65,19.48,-0.97,-0.23
10,69.02,-136.08,1.0,0.0,0.0,342.50,18.51,444.32,21.08,0.08,1.00
11,69.02,-133.57,1.0,0.0,0.0,348.68,18.67,442.91,21.05,-0.03,1.00
12,62.55,-131.06,0.0,0.0,1.0,414.08,20.35,61.63,7.85,0.05,-1.00
13,57.32,-123.53,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.38,-0.93
14,62.55,-123.53,1.0,0.0,0.0,1900.00,43.59,251.41,15.86,-0.74,-0.67
15,52.75,-121.02,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.68,-0.73
16,41.25,-116.00,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.95,0.32
17,37.87,-113.49,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.99,-0.12
18,44.82,-113.49,1.0,0.0,0.0,893.05,29.88,199.03,14.11,-0.99,0.11
19,48.63,-113.49,1.0,0.0,0.0,1027.56,32.06,55.90,7.48,-0.67,0.74
20,52.75,-113.49,1.0,0.0,0.0,1783.53,42.23,197.92,14.07,-0.18,-0.98
21,34.64,-110.98,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.91,-0.42
22,37.87,-110.98,1.0,1.0,1.0,400.00,20.00,178.16,13.35,-1.00,0.09
23,41.25,-110.98,0.0,0.0,1.0,400.00,20.00,304.01,17.44,-0.58,-0.82
24,44.82,-110.98,1.0,1.0,0.0,400.00,20.00,394.40,19.86,-0.77,0.63
25,52.75,-110.98,1.0,0.0,0.0,1900.00,43.59,284.64,16.87,-0.74,-0.67
26,34.64,-108.47,0.0,1.0,0.0,862.83,29.37,157.84,12.56,-0.90,-0.44
27,37.87,-108.47,1.0,1.0,0.0,400.00,20.00,306.67,17.51,-0.74,-0.67
28,44.82,-108.47,1.0,1.0,0.0,909.59,30.16,551.97,23.49,-0.75,0.67
29,48.63,-108.47,1.0,0.0,0.0,1900.00,43.59,407.29,20.18,-0.99,0.14
30,34.64,-105.96,0.0,1.0,0.0,1044.72,32.32,378.18,19.45,-0.99,-0.17
31,37.87,-105.96,0.0,1.0,0.0,696.77,26.40,494.23,22.23,-0.92,-0.40
32,41.25,-105.96,1.0,0.0,0.0,400.00,20.00,649.03,25.48,-0.94,-0.35
33,44.82,-105.96,1.0,0.0,0.0,1824.60,42.72,710.31,26.65,-0.84,0.54
34,31.53,-103.45,0.0,1.0,0.0,1900.00,43.59,527.73,22.97,-0.99,0.12
35,44.82,-103.45,1.0,0.0,0.0,1531.33,39.13,882.05,29.70,-0.89,0.46
36,37.87,-100.94,0.0,1.0,0.0,1826.51,42.74,917.94,30.30,-0.98,-0.17
37,34.64,-98.43,0.0,1.0,0.0,200.00,14.14,1020.31,31.94,0.72,-0.70
38,41.25,-98.43,0.0,1.0,0.0,363.08,19.05,1237.02,35.17,-0.91,-0.41
39,48.63,-98.43,1.0,0.0,0.0,200.00,14.14,1137.14,33.72,-0.97,0.23
40,31.53,-95.92,0.0,1.0,0.0,200.00,14.14,615.46,24.81,0.78,-0.62
41,34.64,-95.92,0.0,1.0,0.0,200.00,14.14,873.12,29.55,0.55,-0.83
42,37.87,-95.92,0.0,1.0,0.0,200.00,14.14,1175.91,34.29,0.57,-0.82
43,41.25,-95.92,1.0,1.0,0.0,200.00,14.14,1432.15,37.84,-0.94,-0.33
44,44.82,-95.92,0.0,1.0,0.0,200.00,14.14,1427.16,37.78,-0.94,0.35
45,17.19,-93.41,1.0,0.0,0.0,800.00,28.28,215.39,14.68,-0.79,-0.61
46,19.94,-93.41,1.0,0.0,0.0,1803.03,42.46,188.04,13.71,0.78,0.63
47,37.87,-93.41,0.0,1.0,0.0,200.00,14.14,1055.38,32.49,0.59,-0.81
48,41.25,-93.41,0.0,1.0,0.0,200.00,14.14,1377.72,37.12,0.45,-0.89
49,11.81,-83.37,1.0,0.0,0.0,1067.64,32.67,199.49,14.12,-0.89,-0.45
50,14.48,-83.37,1.0,0.0,0.0,0.00,0.00,69.74,8.35,0.56,0.83
51,31.53,-83.37,1.0,0.0,0.0,200.00,14.14,283.26,16.83,0.13,-0.99
52,19.94,-78.35,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.98,0.20
53,-6.53,-75.84,1.0,0.0,0.0,1075.00,32.79,61.34,7.83,-0.30,0.95
54,14.48,-75.84,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.96,0.27
