region_id,centroid_x,centroid_y,Coal Deposits,Evaporites Deposits,Glacial Deposits,Elevation,Sqrt Elevation,Dist to Shore,Sqrt Dist,Sin Angle Shore,Cos Angle Shore
1,-52.75,-166.20,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.96,0.28
2,-52.75,-161.18,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.14,0.99
3,-52.75,-158.67,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.08,1.00
4,-48.63,-158.67,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.06,1.00
5,69.02,-90.90,1.0,0.0,0.0,262.54,16.20,48.50,6.96,-0.51,-0.86
6,41.25,-88.39,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.91,-0.41
7,57.32,-85.88,1.0,0.0,0.0,1519.86,38.99,62.10,7.88,-0.88,0.47
8,69.02,-85.88,1.0,0.0,0.0,3399.82,58.31,229.72,15.16,-0.99,-0.14
9,57.32,-83.37,1.0,0.0,0.0,3390.64,58.23,207.23,14.40,-0.99,0.16
10,44.82,-80.86,0.0,1.0,0.0,962.34,31.02,591.78,24.33,-0.98,0.19
11,69.02,-80.86,1.0,0.0,0.0,3400.00,58.31,423.68,20.58,-0.96,-0.29
12,44.82,-78.35,1.0,0.0,0.0,400.00,20.00,786.56,28.05,-0.99,0.17
13,34.64,-75.84,0.0,1.0,0.0,1453.06,38.12,426.05,20.64,0.79,-0.61
14,37.87,-75.84,1.0,0.0,0.0,556.75,23.60,666.39,25.81,0.65,-0.76
15,44.82,-75.84,1.0,0.0,0.0,400.00,20.00,981.78,31.33,-0.99,0.16
16,48.63,-75.84,1.0,0.0,0.0,400.00,20.00,929.31,30.48,-1.00,-0.04
17,57.32,-75.84,1.0,1.0,0.0,1701.72,41.25,655.73,25.61,-0.99,0.12
18,41.25,-73.33,1.0,0.0,0.0,200.00,14.14,733.92,27.09,0.65,-0.76
19,48.63,-73.33,1.0,1.0,0.0,200.00,14.14,1113.71,33.37,-1.00,-0.01
20,57.32,-73.33,1.0,0.0,0.0,437.03,20.91,802.54,28.33,-0.96,0.27
21,-62.55,-70.82,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.20,0.98
22,52.75,-70.82,1.0,0.0,0.0,200.00,14.14,1144.12,33.82,-0.83,0.56
23,31.53,-68.31,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.49,-0.87
24,48.63,-68.31,1.0,0.0,0.0,200.00,14.14,1389.32,37.27,0.02,-1.00
25,57.32,-68.31,1.0,0.0,0.0,200.00,14.14,1093.37,33.07,-0.97,0.26
26,52.75,-65.80,1.0,0.0,0.0,200.00,14.14,1430.37,37.82,-0.86,0.50
27,19.94,-63.29,0.0,1.0,0.0,0.00,0.00,0.00,0.00,1.00,0.06
28,34.64,-60.78,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.01,-1.00
29,-57.32,-58.27,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.22,-0.98
30,-41.25,-58.27,1.0,0.0,0.0,1585.06,39.81,97.38,9.87,-0.30,0.95
31,31.53,-58.27,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.98,-0.22
32,37.87,-58.27,1.0,0.0,0.0,200.00,14.14,121.29,11.01,-0.33,-0.95
33,52.75,-58.27,1.0,0.0,0.0,200.00,14.14,1769.69,42.07,-0.02,-1.00
34,-44.82,-55.76,0.0,1.0,0.0,971.58,31.17,298.96,17.29,1.00,0.06
35,-41.25,-55.76,0.0,1.0,0.0,1275.79,35.72,257.32,16.04,-0.94,0.35
36,-1.30,-55.76,1.0,0.0,0.0,853.16,29.21,115.11,10.73,-0.58,0.81
37,1.30,-55.76,1.0,0.0,0.0,183.89,13.56,66.36,8.15,-0.92,0.40
38,3.91,-55.76,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.72,0.69
