region_id,centroid_x,centroid_y,Precipitation,Log Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Squared Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,ASinh Elevation Sc70,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,ASinh Dist Sc70,Sin Angle Shore,Cos Angle Shore
1,-79.48,-178.00,0.46,-0.77,0.0,0.0,0.0,-79.48,-178.00,79.48,6317.11,200.00,14.14,2.09,1.77,70.06,8.37,1.14,0.88,-0.55,-0.83
2,-44.49,-178.00,1.20,0.18,1.0,0.0,0.0,-44.49,-178.00,44.49,1979.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,-0.56
3,-13.50,-178.00,2.62,0.96,1.0,0.0,0.0,-13.50,-178.00,13.50,182.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.98
4,-79.48,-170.00,0.56,-0.58,0.0,0.0,0.0,-79.48,-170.00,79.48,6317.11,200.00,14.14,2.09,1.77,206.02,14.35,2.12,1.80,-0.93,-0.36
5,64.52,-170.00,0.98,-0.02,0.0,0.0,0.0,64.52,-170.00,64.52,4162.45,0.00,0.00,0.00,0.00,57.49,7.58,0.98,0.75,-0.00,-1.00
6,-79.48,-162.00,0.49,-0.72,0.0,0.0,0.0,-79.48,-162.00,79.48,6317.11,200.00,14.14,2.09,1.77,359.64,18.96,2.67,2.34,-0.95,-0.31
7,64.52,-162.00,0.99,-0.02,0.0,0.0,0.0,64.52,-162.00,64.52,4162.45,200.00,14.14,2.09,1.77,108.98,10.44,1.52,1.23,-0.86,0.51
8,-79.48,-158.00,0.50,-0.70,0.0,0.0,0.0,-79.48,-158.00,79.48,6317.11,200.00,14.14,2.09,1.77,436.83,20.90,2.86,2.53,-0.95,-0.31
9,64.52,-158.00,1.05,0.05,0.0,0.0,0.0,64.52,-158.00,64.52,4162.45,525.27,22.92,3.05,2.71,248.60,15.77,2.31,1.98,-0.73,0.69
10,-79.48,-150.00,0.46,-0.77,0.0,0.0,0.0,-79.48,-150.00,79.48,6317.11,200.00,14.14,2.09,1.77,507.48,22.53,3.01,2.68,-0.23,0.97
11,64.52,-150.00,1.34,0.29,0.0,0.0,0.0,64.52,-150.00,64.52,4162.45,1179.54,34.34,3.85,3.52,343.94,18.55,2.63,2.30,0.61,-0.79
12,-79.48,-142.00,0.56,-0.59,0.0,0.0,0.0,-79.48,-142.00,79.48,6317.11,200.00,14.14,2.09,1.77,576.29,24.01,3.14,2.80,-0.60,0.80
13,64.52,-142.00,1.39,0.33,1.0,0.0,1.0,64.52,-142.00,64.52,4162.45,682.59,26.13,3.31,2.97,279.88,16.73,2.42,2.09,-0.00,-1.00
14,-79.48,-138.00,0.55,-0.61,0.0,0.0,0.0,-79.48,-138.00,79.48,6317.11,200.00,14.14,2.09,1.77,627.50,25.05,3.22,2.89,-0.29,0.96
15,64.52,-138.00,1.30,0.26,1.0,0.0,0.0,64.52,-138.00,64.52,4162.45,1706.80,41.31,4.22,3.89,279.88,16.73,2.42,2.09,-0.00,-1.00
16,-79.48,-130.00,0.60,-0.52,0.0,0.0,0.0,-79.48,-130.00,79.48,6317.11,200.00,14.14,2.09,1.77,702.07,26.50,3.34,3.00,-0.61,0.80
17,64.52,-130.00,0.93,-0.08,0.0,0.0,1.0,64.52,-130.00,64.52,4162.45,1900.00,43.59,4.33,3.99,487.87,22.09,2.97,2.64,-0.85,-0.52
18,-79.48,-122.00,0.53,-0.64,0.0,0.0,0.0,-79.48,-122.00,79.48,6317.11,200.00,14.14,2.09,1.77,818.20,28.60,3.49,3.15,-0.81,0.59
19,56.60,-122.00,1.86,0.62,1.0,0.0,0.0,56.60,-122.00,56.60,3203.77,1900.00,43.59,4.33,3.99,345.99,18.60,2.63,2.30,-0.57,-0.82
20,64.52,-122.00,0.80,-0.22,0.0,0.0,0.0,64.52,-122.00,64.52,4162.45,1108.52,33.29,3.79,3.46,796.61,28.22,3.46,3.13,-0.83,-0.55
21,-79.48,-118.00,0.51,-0.68,0.0,0.0,0.0,-79.48,-118.00,79.48,6317.11,200.00,14.14,2.09,1.77,883.89,29.73,3.57,3.23,-0.72,0.69
22,44.49,-118.00,1.71,0.54,0.0,0.0,0.0,44.49,-118.00,44.49,1979.22,620.61,24.91,3.21,2.88,292.32,17.10,2.47,2.14,-0.83,-0.55
23,50.15,-118.00,1.61,0.47,0.0,0.0,0.0,50.15,-118.00,50.15,2514.86,1792.44,42.34,4.27,3.94,143.67,11.99,1.78,1.47,-0.99,-0.10
24,56.60,-118.00,0.95,-0.05,0.0,0.0,0.0,56.60,-118.00,56.60,3203.77,1333.57,36.52,3.98,3.64,512.67,22.64,3.02,2.69,-0.65,-0.76
25,64.52,-118.00,0.56,-0.58,0.0,0.0,0.0,64.52,-118.00,64.52,4162.45,296.10,17.21,2.48,2.15,964.59,31.06,3.65,3.32,-0.91,-0.41
26,39.34,-114.00,1.01,0.01,1.0,0.0,0.0,39.34,-114.00,39.34,1547.64,400.00,20.00,2.78,2.44,228.80,15.13,2.23,1.90,-0.77,-0.64
27,44.49,-114.00,1.06,0.06,0.0,0.0,0.0,44.49,-114.00,44.49,1979.22,400.00,20.00,2.78,2.44,506.97,22.52,3.01,2.68,-0.66,-0.75
