region_id,centroid_x,centroid_y,Precipitation,Log10 Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
1,-44.82,-178.75,1.19,0.07,1,0,0,-44.82,-178.75,44.82,0,0,0,0,0,0,-0.73,0.69
2,-41.25,-178.75,1.21,0.08,1,0,0,-41.25,-178.75,41.25,0,0,0,0,0,0,-0.66,0.75
3,-14.48,-178.75,2.61,0.42,1,0,0,-14.48,-178.75,14.48,0,0,0,0,0,0,0.59,0.81
4,69.02,-176.24,0.71,-0.15,1,0,0,69.02,-176.24,69.02,200,14.14,2.09,72.04,8.49,1.16,-0.24,-0.97
5,69.02,-173.73,0.71,-0.15,1,0,0,69.02,-173.73,69.02,200,14.14,2.09,70.2,8.38,1.14,0.07,-1
6,57.32,-153.65,1.19,0.08,1,0,0,57.32,-153.65,57.32,0,0,0,0,0,0,0.68,-0.74
7,69.02,-143.61,0.71,-0.15,1,0,0,69.02,-143.61,69.02,1964.48,44.32,4.36,533.64,23.1,3.06,0.22,-0.98
8,62.55,-141.1,1.27,0.1,1,0,0,62.55,-141.1,62.55,0,0,0,65.2,8.07,1.08,0.19,-0.98
9,69.02,-141.1,0.78,-0.11,1,0,1,69.02,-141.1,69.02,2129.75,46.15,4.45,523.19,22.87,3.04,-0.01,-1
10,69.02,-136.08,0.71,-0.15,1,0,0,69.02,-136.08,69.02,2213.5,47.05,4.48,525.57,22.93,3.05,0.08,-1
11,69.02,-133.57,0.75,-0.13,1,0,0,69.02,-133.57,69.02,1639.94,40.5,4.18,527.16,22.96,3.05,0.03,-1
12,62.55,-131.06,1.48,0.17,0,0,1,62.55,-131.06,62.55,0,0,0,0,0,0,0.01,-1
13,52.75,-123.53,2.63,0.42,1,0,0,52.75,-123.53,52.75,0,0,0,0,0,0,-0.7,-0.71
14,57.32,-123.53,2.18,0.34,1,0,0,57.32,-123.53,57.32,0,0,0,0,0,0,-0.67,-0.74
15,62.55,-123.53,1.03,0.01,1,0,0,62.55,-123.53,62.55,1919.97,43.82,4.34,137.32,11.72,1.74,-0.97,-0.23
16,41.25,-116,0.98,-0.01,1,0,0,41.25,-116,41.25,0,0,0,0,0,0,-1,-0.01
17,37.87,-113.49,0.53,-0.28,1,0,0,37.87,-113.49,37.87,0,0,0,0,0,0,-0.72,-0.7
18,44.82,-113.49,1.13,0.05,1,0,0,44.82,-113.49,44.82,236.76,15.39,2.26,0,0,0,-0.92,-0.39
19,48.63,-113.49,1.53,0.18,1,0,0,48.63,-113.49,48.63,166.34,12.9,1.92,0,0,0,-0.87,0.5
20,52.75,-113.49,1.51,0.18,1,0,0,52.75,-113.49,52.75,0,0,0,0,0,0,-0.88,-0.48
21,34.64,-110.98,0.78,-0.11,0,1,0,34.64,-110.98,34.64,0,0,0,115.72,10.76,1.58,-0.92,-0.39
22,37.87,-110.98,0.8,-0.1,1,1,1,37.87,-110.98,37.87,0,0,0,0,0,0,-0.99,-0.14
23,41.25,-110.98,0.87,-0.06,0,0,1,41.25,-110.98,41.25,286.36,16.92,2.45,0,0,0,-0.98,0.22
24,44.82,-110.98,1.42,0.15,1,1,0,44.82,-110.98,44.82,1709.26,41.34,4.23,130.64,11.43,1.69,-0.83,-0.55
25,52.75,-110.98,0.77,-0.12,1,0,0,52.75,-110.98,52.75,2767.91,52.61,4.71,156.96,12.53,1.86,-0.95,0.31
26,34.64,-108.47,1.05,0.02,0,1,0,34.64,-108.47,34.64,0,0,0,230.73,15.19,2.23,-0.98,-0.19
27,37.87,-108.47,0.81,-0.09,1,1,0,37.87,-108.47,37.87,0,0,0,81.69,9.04,1.27,0.06,-1
28,44.82,-108.47,1.1,0.04,1,1,0,44.82,-108.47,44.82,3051.74,55.24,4.8,239.09,15.46,2.27,-0.64,-0.77
29,48.63,-108.47,0.81,-0.09,1,0,0,48.63,-108.47,48.63,3400,58.31,4.91,284.59,16.87,2.44,-0.97,0.23
30,34.64,-105.96,1.05,0.02,0,1,0,34.64,-105.96,34.64,0,0,0,282.79,16.82,2.43,-0.86,-0.5
31,37.87,-105.96,0.83,-0.08,0,1,0,37.87,-105.96,37.87,2299.67,47.95,4.52,231.08,15.2,2.24,-0.94,-0.34
32,41.25,-105.96,0.97,-0.01,1,0,0,41.25,-105.96,41.25,1523.31,39.03,4.11,374.1,19.34,2.71,-0.79,-0.61
33,44.82,-105.96,1,0,1,0,0,44.82,-105.96,44.82,3400,58.31,4.91,397.31,19.93,2.77,-0.9,-0.44
34,31.53,-103.45,1.03,0.01,0,1,0,31.53,-103.45,31.53,0,0,0,196.55,14.02,2.08,-0.93,-0.37
35,44.82,-103.45,0.98,-0.01,1,0,0,44.82,-103.45,44.82,2649.99,51.48,4.66,582.29,24.13,3.15,-0.96,-0.28
36,37.87,-100.94,1.17,0.07,0,1,0,37.87,-100.94,37.87,1174.07,34.26,3.85,663.89,25.77,3.28,-1,-0.08
37,34.64,-98.43,1.17,0.07,0,1,0,34.64,-98.43,34.64,2724.5,52.2,4.69,758.67,27.54,3.41,-0.96,-0.29
38,41.25,-98.43,0.98,-0.01,0,1,0,41.25,-98.43,41.25,400,20,2.78,959.42,30.97,3.65,-0.98,-0.18
39,48.63,-98.43,0.63,-0.2,1,0,0,48.63,-98.43,48.63,200,14.14,2.09,1012.64,31.82,3.7,-0.99,0.15
40,31.53,-95.92,1.12,0.05,0,1,0,31.53,-95.92,31.53,2717.26,52.13,4.69,522.63,22.86,3.04,1,-0.08
41,34.64,-95.92,1.27,0.1,0,1,0,34.64,-95.92,34.64,1066.04,32.65,3.75,650.18,25.5,3.26,0.8,-0.6
42,37.87,-95.92,1.23,0.09,0,1,0,37.87,-95.92,37.87,200,14.14,2.09,867.11,29.45,3.55,0.81,-0.59
43,41.25,-95.92,0.96,-0.02,1,1,0,41.25,-95.92,41.25,200,14.14,2.09,1099.21,33.15,3.78,0.71,-0.7
44,44.82,-95.92,0.76,-0.12,0,1,0,44.82,-95.92,44.82,200,14.14,2.09,1167.76,34.17,3.84,-1,-0.07
45,17.19,-93.41,0.85,-0.07,1,0,0,17.19,-93.41,17.19,0,0,0,0,0,0,-0.93,-0.38
46,19.94,-93.41,0.6,-0.22,1,0,0,19.94,-93.41,19.94,0,0,0,0,0,0,-0.85,-0.53
47,41.25,-93.41,1.01,0,0,1,0,41.25,-93.41,41.25,200,14.14,2.09,963.15,31.03,3.65,0.57,-0.82
48,11.81,-83.37,0.61,-0.21,1,0,0,11.81,-83.37,11.81,0,0,0,0,0,0,0.27,-0.96
49,14.48,-83.37,0.6,-0.22,1,0,0,14.48,-83.37,14.48,333.2,18.25,2.6,0,0,0,0.67,-0.74
50,31.53,-83.37,1.11,0.04,1,0,0,31.53,-83.37,31.53,0,0,0,0,0,0,0.58,-0.81
51,19.94,-78.35,0.42,-0.38,1,0,0,19.94,-78.35,19.94,0,0,0,0,0,0,0.71,0.7
52,-6.53,-75.84,2.59,0.41,1,0,0,-6.53,-75.84,6.53,0,0,0,0,0,0,-1,-0.07
53,14.48,-75.84,0.44,-0.36,1,0,0,14.48,-75.84,14.48,0,0,0,0,0,0,0.88,-0.48
54,-3.91,-73.33,3.14,0.5,0,1,0,-3.91,-73.33,3.91,0,0,0,0,0,0,-0.9,0.43
55,17.19,-73.33,0.3,-0.53,1,0,0,17.19,-73.33,17.19,0,0,0,0,0,0,1,-0.02
56,19.94,-73.33,0.22,-0.66,0,1,0,19.94,-73.33,19.94,0,0,0,0,0,0,0.95,0.32
57,-48.63,-70.82,2.31,0.36,0,0,1,-48.63,-70.82,48.63,0,0,0,0,0,0,-0.98,0.18
58,-44.82,-70.82,1.63,0.21,1,0,0,-44.82,-70.82,44.82,0,0,0,0,0,0,-0.94,0.34
59,1.3,-70.82,3.63,0.56,1,0,0,1.3,-70.82,1.3,0,0,0,0,0,0,-0.64,0.77
60,-57.32,-68.31,1.42,0.15,1,0,0,-57.32,-68.31,57.32,0,0,0,0,0,0,-0.39,0.92
61,-19.94,-68.31,0.64,-0.2,0,1,0,-19.94,-68.31,19.94,0,0,0,0,0,0,-1,-0.09
62,-17.19,-68.31,1.02,0.01,0,1,0,-17.19,-68.31,17.19,0,0,0,0,0,0,-0.97,-0.25
63,-3.91,-68.31,2.84,0.45,1,0,0,-3.91,-68.31,3.91,400,20,2.78,250.88,15.84,2.32,-0.99,-0.14
64,6.53,-68.31,1.04,0.02,0,1,0,6.53,-68.31,6.53,213.39,14.61,2.16,0,0,0,-0.95,-0.32
65,17.19,-68.31,0.21,-0.67,1,1,0,17.19,-68.31,17.19,0,0,0,0,0,0,-0.55,0.84
66,37.87,-68.31,1.53,0.18,1,0,0,37.87,-68.31,37.87,988.01,31.43,3.68,79.74,8.93,1.25,1,0
67,-57.32,-65.8,1.28,0.11,1,0,0,-57.32,-65.8,57.32,0,0,0,0,0,0,-0.35,0.94
68,-28.52,-65.8,0.51,-0.29,1,0,0,-28.52,-65.8,28.52,0,0,0,0,0,0,-0.98,0.2
69,-25.59,-65.8,0.54,-0.27,0,1,0,-25.59,-65.8,25.59,0,0,0,0,0,0,-0.99,0.15
70,-19.94,-65.8,1.06,0.03,0,1,0,-19.94,-65.8,19.94,0,0,0,0,0,0,-1,0.07
