region_id,centroid_x,centroid_y,Precipitation,Log10 Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
1,-44.82,-178.75,1.19,0.07,1,0,0,-44.82,-178.75,44.82,0,0,0,0,0,0,-0.73,0.69
2,-41.25,-178.75,1.21,0.08,1,0,0,-41.25,-178.75,41.25,0,0,0,0,0,0,-0.66,0.75
3,-14.48,-178.75,2.61,0.42,1,0,0,-14.48,-178.75,14.48,0,0,0,0,0,0,0.59,0.81
4,69.02,-176.24,0.71,-0.15,1,0,0,69.02,-176.24,69.02,200,14.14,2.09,72.04,8.49,1.16,-0.24,-0.97
5,69.02,-173.73,0.71,-0.15,1,0,0,69.02,-173.73,69.02,200,14.14,2.09,70.2,8.38,1.14,0.07,-1
6,69.02,-171.22,0.73,-0.14,0,0,0,69.02,-171.22,69.02,200,14.14,2.09,119.45,10.93,1.61,-0.82,-0.57
7,69.02,-168.71,0.68,-0.17,0,0,0,69.02,-168.71,69.02,200,14.14,2.09,197.04,14.04,2.08,-0.4,-0.91
8,-57.32,-166.2,1.17,0.07,0,0,0,-57.32,-166.2,57.32,278.24,16.68,2.42,75.41,8.68,1.2,-0.31,0.95
9,69.02,-166.2,0.67,-0.18,0,0,0,69.02,-166.2,69.02,200,14.14,2.09,255.82,15.99,2.34,-0.73,-0.68
10,-52.75,-163.69,1.17,0.07,0,0,0,-52.75,-163.69,52.75,0,0,0,44.51,6.67,0.8,-0.99,0.11
11,69.02,-163.69,0.74,-0.13,0,0,0,69.02,-163.69,69.02,200,14.14,2.09,334.68,18.29,2.6,-0.51,-0.86
12,-52.75,-161.18,1.18,0.07,0,0,0,-52.75,-161.18,52.75,243.46,15.6,2.29,60.56,7.78,1.02,1,-0.05
13,69.02,-161.18,0.74,-0.13,0,0,0,69.02,-161.18,69.02,200,14.14,2.09,396.66,19.92,2.77,-0.71,-0.7
14,-57.32,-158.67,1.23,0.09,0,0,0,-57.32,-158.67,57.32,312.57,17.68,2.53,75.34,8.68,1.2,-0.63,0.77
15,62.55,-158.67,1.15,0.06,0,0,0,62.55,-158.67,62.55,345.17,18.58,2.63,45.21,6.72,0.81,-0.9,-0.44
16,69.02,-158.67,0.76,-0.12,0,0,0,69.02,-158.67,69.02,200,14.14,2.09,474.23,21.78,2.95,-0.83,-0.56
17,62.55,-156.16,1.17,0.07,0,0,0,62.55,-156.16,62.55,895.95,29.93,3.58,170.61,13.06,1.94,-1,-0.09
18,69.02,-156.16,0.83,-0.08,0,0,0,69.02,-156.16,69.02,200,14.14,2.09,536.41,23.16,3.07,-0.29,-0.96
19,57.32,-153.65,1.19,0.08,1,0,0,57.32,-153.65,57.32,0,0,0,0,0,0,0.68,-0.74
20,62.55,-153.65,1.1,0.04,0,0,0,62.55,-153.65,62.55,1657.34,40.71,4.19,244.73,15.64,2.29,0.05,-1
21,69.02,-153.65,0.68,-0.17,0,0,0,69.02,-153.65,69.02,200,14.14,2.09,575.57,23.99,3.14,-0.48,-0.88
22,62.55,-151.14,1.43,0.15,0,0,0,62.55,-151.14,62.55,976.2,31.24,3.67,163.86,12.8,1.9,0.58,-0.81
23,69.02,-151.14,0.82,-0.09,0,0,0,69.02,-151.14,69.02,447.04,21.14,2.89,631.56,25.13,3.23,-0.63,-0.78
24,62.55,-148.63,1.23,0.09,0,0,0,62.55,-148.63,62.55,468.28,21.64,2.93,135.76,11.65,1.72,0.11,-0.99
25,69.02,-148.63,0.74,-0.13,0,0,0,69.02,-148.63,69.02,572.24,23.92,3.13,615.93,24.82,3.21,0.58,-0.81
26,62.55,-146.12,1.31,0.12,0,0,0,62.55,-146.12,62.55,0,0,0,49.35,7.02,0.87,0.59,-0.81
27,69.02,-146.12,0.67,-0.18,0,0,0,69.02,-146.12,69.02,1135.71,33.7,3.82,565.69,23.78,3.12,0.42,-0.91
28,69.02,-143.61,0.71,-0.15,1,0,0,69.02,-143.61,69.02,1964.48,44.32,4.36,533.64,23.1,3.06,0.22,-0.98
29,62.55,-141.1,1.27,0.1,1,0,0,62.55,-141.1,62.55,0,0,0,65.2,8.07,1.08,0.19,-0.98
30,69.02,-141.1,0.78,-0.11,1,0,1,69.02,-141.1,69.02,2129.75,46.15,4.45,523.19,22.87,3.04,-0.01,-1
31,69.02,-138.59,0.72,-0.14,0,0,0,69.02,-138.59,69.02,2207.84,46.99,4.48,524.75,22.91,3.05,0.05,-1
32,69.02,-136.08,0.71,-0.15,1,0,0,69.02,-136.08,69.02,2213.5,47.05,4.48,525.57,22.93,3.05,0.08,-1
33,69.02,-133.57,0.75,-0.13,1,0,0,69.02,-133.57,69.02,1639.94,40.5,4.18,527.16,22.96,3.05,0.03,-1
34,62.55,-131.06,1.48,0.17,0,0,1,62.55,-131.06,62.55,0,0,0,0,0,0,0.01,-1
35,69.02,-131.06,0.6,-0.22,0,0,0,69.02,-131.06,69.02,1785.35,42.25,4.27,529.67,23.01,3.06,-0.01,-1
36,69.02,-128.55,0.48,-0.31,0,0,0,69.02,-128.55,69.02,2324.87,48.22,4.53,550.31,23.46,3.09,-0.19,-0.98
37,69.02,-126.04,0.52,-0.29,0,0,0,69.02,-126.04,69.02,2927.22,54.1,4.76,580.94,24.1,3.15,0.02,1
38,52.75,-123.53,2.63,0.42,1,0,0,52.75,-123.53,52.75,0,0,0,0,0,0,-0.7,-0.71
39,57.32,-123.53,2.18,0.34,1,0,0,57.32,-123.53,57.32,0,0,0,0,0,0,-0.67,-0.74
40,62.55,-123.53,1.03,0.01,1,0,0,62.55,-123.53,62.55,1919.97,43.82,4.34,137.32,11.72,1.74,-0.97,-0.23
41,69.02,-123.53,0.5,-0.3,0,0,0,69.02,-123.53,69.02,2778.93,52.72,4.71,581.33,24.11,3.15,-0.06,1
42,62.55,-121.02,0.84,-0.07,0,0,0,62.55,-121.02,62.55,3361.47,57.98,4.9,218.89,14.79,2.18,-0.76,-0.65
43,69.02,-121.02,0.51,-0.29,0,0,0,69.02,-121.02,69.02,3012.49,54.89,4.79,593.27,24.36,3.17,-0.18,0.98
44,57.32,-118.51,1.06,0.03,0,0,0,57.32,-118.51,57.32,1652.97,40.66,4.19,41.73,6.46,0.76,-0.96,-0.29
45,62.55,-118.51,0.62,-0.21,0,0,0,62.55,-118.51,62.55,3400,58.31,4.91,322.94,17.97,2.56,-0.62,-0.79
46,69.02,-118.51,0.51,-0.29,0,0,0,69.02,-118.51,69.02,3378.75,58.13,4.91,617.37,24.85,3.21,-0.3,0.95
47,41.25,-116,0.98,-0.01,1,0,0,41.25,-116,41.25,0,0,0,0,0,0,-1,-0.01
48,57.32,-116,1.04,0.02,0,0,0,57.32,-116,57.32,3287.15,57.33,4.88,182.15,13.5,2,-0.74,-0.67
49,62.55,-116,0.61,-0.22,0,0,0,62.55,-116,62.55,3355.68,57.93,4.9,416.51,20.41,2.82,-0.81,-0.58
50,69.02,-116,0.55,-0.26,0,0,0,69.02,-116,69.02,3352.96,57.9,4.9,652.24,25.54,3.26,-0.4,0.92
51,37.87,-113.49,0.53,-0.28,1,0,0,37.87,-113.49,37.87,0,0,0,0,0,0,-0.72,-0.7
52,44.82,-113.49,1.13,0.05,1,0,0,44.82,-113.49,44.82,236.76,15.39,2.26,0,0,0,-0.92,-0.39
53,48.63,-113.49,1.53,0.18,1,0,0,48.63,-113.49,48.63,166.34,12.9,1.92,0,0,0,-0.87,0.5
54,52.75,-113.49,1.51,0.18,1,0,0,52.75,-113.49,52.75,0,0,0,0,0,0,-0.88,-0.48
55,57.32,-113.49,0.78,-0.11,0,0,0,57.32,-113.49,57.32,3400,58.31,4.91,289.69,17.02,2.46,-0.59,-0.81
56,62.55,-113.49,0.6,-0.22,0,0,0,62.55,-113.49,62.55,1680.37,40.99,4.21,527.43,22.97,3.05,-0.9,-0.43
57,69.02,-113.49,0.56,-0.25,0,0,0,69.02,-113.49,69.02,1951.74,44.18,4.36,696.21,26.39,3.33,-0.48,0.88
58,25.59,-110.98,0.84,-0.08,0,0,0,25.59,-110.98,25.59,0,0,0,124.64,11.16,1.64,-0.92,-0.38
59,34.64,-110.98,0.78,-0.11,0,1,0,34.64,-110.98,34.64,0,0,0,115.72,10.76,1.58,-0.92,-0.39
60,37.87,-110.98,0.8,-0.1,1,1,1,37.87,-110.98,37.87,0,0,0,0,0,0,-0.99,-0.14
61,41.25,-110.98,0.87,-0.06,0,0,1,41.25,-110.98,41.25,286.36,16.92,2.45,0,0,0,-0.98,0.22
62,44.82,-110.98,1.42,0.15,1,1,0,44.82,-110.98,44.82,1709.26,41.34,4.23,130.64,11.43,1.69,-0.83,-0.55
63,48.63,-110.98,1.13,0.05,0,0,0,48.63,-110.98,48.63,2450.47,49.5,4.59,111.92,10.58,1.55,-0.84,0.54
64,52.75,-110.98,0.77,-0.12,1,0,0,52.75,-110.98,52.75,2767.91,52.61,4.71,156.96,12.53,1.86,-0.95,0.31
65,57.32,-110.98,0.71,-0.15,0,0,0,57.32,-110.98,57.32,3400,58.31,4.91,399.61,19.99,2.78,-0.83,-0.56
66,62.55,-110.98,0.58,-0.24,0,0,0,62.55,-110.98,62.55,876.07,29.6,3.56,646.71,25.43,3.25,-0.95,-0.32
