region_id,centroid_x,centroid_y,Precipitation,Log10 Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
1,-52.75,-178.75,1.47,0.17,1,0,0,-52.75,-178.75,52.75,0,0,0,0,0,0,-0.81,0.58
2,-48.63,-176.24,1.62,0.21,1,0,0,-48.63,-176.24,48.63,0,0,0,0,0,0,-0.85,0.52
3,-44.82,-176.24,2.07,0.32,1,0,0,-44.82,-176.24,44.82,0,0,0,0,0,0,-0.75,0.67
4,-48.63,-173.73,2.22,0.35,1,0,0,-48.63,-173.73,48.63,0,0,0,0,0,0,-0.81,0.59
5,69.02,-173.73,1.28,0.11,1,0,0,69.02,-173.73,69.02,200,14.14,2.09,70.2,8.38,1.14,0.07,-1
6,-48.63,-171.22,2.17,0.34,1,0,0,-48.63,-171.22,48.63,0,0,0,0,0,0,-0.74,0.67
7,-48.63,-168.71,1.13,0.05,1,0,0,-48.63,-168.71,48.63,0,0,0,0,0,0,-0.77,0.64
8,69.02,-158.67,1.02,0.01,1,0,0,69.02,-158.67,69.02,200,14.14,2.09,474.23,21.78,2.95,-0.83,-0.56
9,62.55,-126.04,1.36,0.13,1,0,0,62.55,-126.04,62.55,597.74,24.45,3.18,0,0,0,-0.81,0.58
10,62.55,-118.51,2.8,0.45,1,0,0,62.55,-118.51,62.55,3400,58.31,4.91,322.94,17.97,2.56,-0.62,-0.79
11,69.02,-118.51,1.55,0.19,1,0,0,69.02,-118.51,69.02,3378.75,58.13,4.91,617.37,24.85,3.21,-0.3,0.95
12,62.55,-116,3.02,0.48,1,0,0,62.55,-116,62.55,3355.68,57.93,4.9,416.51,20.41,2.82,-0.81,-0.58
13,57.32,-108.47,2.38,0.38,1,0,0,57.32,-108.47,57.32,3011.37,54.88,4.79,500.47,22.37,3,-0.75,-0.67
14,62.55,-108.47,2.08,0.32,1,0,0,62.55,-108.47,62.55,200,14.14,2.09,770.35,27.76,3.43,-0.97,-0.23
15,69.02,-108.47,1.6,0.21,1,0,0,69.02,-108.47,69.02,200,14.14,2.09,804.92,28.37,3.47,-0.6,0.8
16,37.87,-103.45,0.22,-0.66,1,0,0,37.87,-103.45,37.87,1056.83,32.51,3.74,445.11,21.1,2.88,-0.99,-0.16
17,41.25,-103.45,0.75,-0.12,1,0,0,41.25,-103.45,41.25,400,20,2.78,556.37,23.59,3.1,-0.92,-0.39
18,44.82,-103.45,0.78,-0.11,1,0,0,44.82,-103.45,44.82,2649.99,51.48,4.66,582.29,24.13,3.15,-0.96,-0.28
19,62.55,-103.45,1.47,0.17,1,0,0,62.55,-103.45,62.55,200,14.14,2.09,1022.66,31.98,3.71,-0.97,-0.23
20,37.87,-100.94,0.35,-0.46,1,0,0,37.87,-100.94,37.87,1174.07,34.26,3.85,663.89,25.77,3.28,-1,-0.08
21,48.63,-100.94,1.71,0.23,1,0,0,48.63,-100.94,48.63,516.24,22.72,3.03,830.17,28.81,3.5,-0.99,0.15
22,52.75,-100.94,1.56,0.19,1,0,0,52.75,-100.94,52.75,373.64,19.33,2.71,822.72,28.68,3.49,-0.99,0.14
23,62.55,-100.94,1.79,0.25,1,0,0,62.55,-100.94,62.55,200,14.14,2.09,1148.72,33.89,3.83,-0.99,-0.17
24,34.64,-98.43,0.16,-0.79,0,1,0,34.64,-98.43,34.64,2724.5,52.2,4.69,758.67,27.54,3.41,-0.96,-0.29
25,44.82,-98.43,0.42,-0.37,1,0,0,44.82,-98.43,44.82,624.74,24.99,3.22,970.69,31.16,3.66,-0.99,-0.12
26,48.63,-98.43,1.16,0.06,1,0,0,48.63,-98.43,48.63,200,14.14,2.09,1012.64,31.82,3.7,-0.99,0.15
27,52.75,-98.43,0.98,-0.01,1,0,0,52.75,-98.43,52.75,200,14.14,2.09,989.87,31.46,3.68,-0.99,0.15
28,62.55,-98.43,1.52,0.18,1,0,0,62.55,-98.43,62.55,200,14.14,2.09,1276.05,35.72,3.93,-0.99,-0.12
29,31.53,-95.92,0.21,-0.68,0,1,0,31.53,-95.92,31.53,2717.26,52.13,4.69,522.63,22.86,3.04,1,-0.08
30,34.64,-95.92,0.34,-0.47,1,0,0,34.64,-95.92,34.64,1066.04,32.65,3.75,650.18,25.5,3.26,0.8,-0.6
31,41.25,-95.92,0.35,-0.45,1,1,0,41.25,-95.92,41.25,200,14.14,2.09,1099.21,33.15,3.78,0.71,-0.7
32,48.63,-95.92,1.21,0.08,1,0,0,48.63,-95.92,48.63,200,14.14,2.09,1192.49,34.53,3.87,-0.97,0.25
33,44.82,-93.41,0.64,-0.2,1,0,0,44.82,-93.41,44.82,200,14.14,2.09,1287.61,35.88,3.94,0.57,-0.82
