region_id,centroid_x,centroid_y,Precipitation,Log Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
1,-44.82,-178.75,1.19,0.07,1.0,0.0,0.0,-44.82,-178.75,44.82,0.00,0.00,0.00,0.00,0.00,0.00,-0.14,0.99
2,-41.25,-178.75,1.21,0.08,1.0,0.0,0.0,-41.25,-178.75,41.25,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.61
3,-14.48,-178.75,2.61,0.42,1.0,0.0,0.0,-14.48,-178.75,14.48,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.61
4,69.02,-176.24,0.71,-0.15,1.0,0.0,0.0,69.02,-176.24,69.02,406.02,20.15,2.79,113.04,10.63,1.55,-0.26,0.97
5,69.02,-173.73,0.71,-0.15,1.0,0.0,0.0,69.02,-173.73,69.02,278.29,16.68,2.42,109.40,10.46,1.52,0.08,1.00
6,57.32,-153.65,1.19,0.08,1.0,0.0,0.0,57.32,-153.65,57.32,0.00,0.00,0.00,0.00,0.00,0.00,0.55,-0.84
7,69.02,-143.61,0.71,-0.15,1.0,0.0,0.0,69.02,-143.61,69.02,767.17,27.70,3.42,276.77,16.64,2.41,0.08,1.00
8,62.55,-141.10,1.27,0.10,1.0,0.0,0.0,62.55,-141.10,62.55,824.88,28.72,3.50,21.62,4.65,0.42,-0.96,-0.27
9,69.02,-141.10,0.78,-0.11,1.0,0.0,1.0,69.02,-141.10,69.02,775.53,27.85,3.44,275.87,16.61,2.41,0.01,1.00
10,69.02,-136.08,0.71,-0.15,1.0,0.0,0.0,69.02,-136.08,69.02,329.07,18.14,2.58,258.70,16.08,2.35,0.50,0.87
11,69.02,-133.57,0.75,-0.13,1.0,0.0,0.0,69.02,-133.57,69.02,236.42,15.38,2.26,202.46,14.23,2.11,0.56,0.83
12,62.55,-131.06,1.48,0.17,0.0,0.0,1.0,62.55,-131.06,62.55,627.40,25.05,3.22,214.46,14.64,2.16,-0.85,-0.52
13,57.32,-123.53,2.18,0.34,1.0,0.0,0.0,57.32,-123.53,57.32,937.52,30.62,3.63,171.79,13.11,1.95,-0.53,-0.85
14,62.55,-123.53,1.03,0.01,1.0,0.0,0.0,62.55,-123.53,62.55,684.82,26.17,3.31,468.16,21.64,2.93,-0.83,-0.56
15,52.75,-121.02,2.42,0.38,1.0,0.0,0.0,52.75,-121.02,52.75,1327.52,36.44,3.97,107.00,10.34,1.50,-0.63,-0.78
16,41.25,-116.00,0.98,-0.01,1.0,0.0,0.0,41.25,-116.00,41.25,1205.36,34.72,3.88,219.22,14.81,2.18,-0.78,-0.63
17,37.87,-113.49,0.53,-0.28,1.0,0.0,0.0,37.87,-113.49,37.87,1275.69,35.72,3.93,308.58,17.57,2.52,-1.00,0.07
18,44.82,-113.49,1.13,0.05,1.0,0.0,0.0,44.82,-113.49,44.82,823.72,28.70,3.50,449.88,21.21,2.89,-0.95,0.32
19,48.63,-113.49,1.53,0.18,1.0,0.0,0.0,48.63,-113.49,48.63,643.58,25.37,3.25,332.50,18.23,2.59,-1.00,-0.01
20,52.75,-113.49,1.51,0.18,1.0,0.0,0.0,52.75,-113.49,52.75,1244.11,35.27,3.91,456.35,21.36,2.91,-0.92,-0.39
21,34.64,-110.98,0.78,-0.11,0.0,1.0,0.0,34.64,-110.98,34.64,142.33,11.93,1.77,157.02,12.53,1.86,-0.90,-0.45
22,37.87,-110.98,0.80,-0.10,1.0,1.0,1.0,37.87,-110.98,37.87,1301.39,36.07,3.95,451.82,21.26,2.90,-0.31,-0.95
23,41.25,-110.98,0.87,-0.06,0.0,0.0,1.0,41.25,-110.98,41.25,1317.40,36.30,3.96,608.52,24.67,3.19,-0.93,-0.38
24,44.82,-110.98,1.42,0.15,1.0,1.0,0.0,44.82,-110.98,44.82,1876.57,43.32,4.32,639.69,25.29,3.24,-0.97,0.25
25,52.75,-110.98,0.77,-0.12,1.0,0.0,0.0,52.75,-110.98,52.75,1161.72,34.08,3.84,604.86,24.59,3.19,-0.89,-0.46
26,34.64,-108.47,1.05,0.02,0.0,1.0,0.0,34.64,-108.47,34.64,861.59,29.35,3.54,334.35,18.29,2.60,-0.85,-0.53
27,37.87,-108.47,0.81,-0.09,1.0,1.0,0.0,37.87,-108.47,37.87,1236.25,35.16,3.90,563.15,23.73,3.12,-0.66,-0.75
28,44.82,-108.47,1.10,0.04,1.0,1.0,0.0,44.82,-108.47,44.82,1485.25,38.54,4.08,832.10,28.85,3.51,-0.98,0.22
29,48.63,-108.47,0.81,-0.09,1.0,0.0,0.0,48.63,-108.47,48.63,1209.67,34.78,3.88,698.93,26.44,3.33,-0.99,0.12
30,34.64,-105.96,1.05,0.02,0.0,1.0,0.0,34.64,-105.96,34.64,1846.66,42.97,4.30,480.47,21.92,2.96,-0.70,-0.71
31,37.87,-105.96,0.83,-0.08,0.0,1.0,0.0,37.87,-105.96,37.87,1177.30,34.31,3.85,729.43,27.01,3.37,-0.83,-0.56
32,41.25,-105.96,0.97,-0.01,1.0,0.0,0.0,41.25,-105.96,41.25,1523.01,39.03,4.11,990.66,31.47,3.68,-0.61,-0.79
33,44.82,-105.96,1.00,-0.00,1.0,0.0,0.0,44.82,-105.96,44.82,1843.54,42.94,4.30,1004.63,31.70,3.69,-0.88,0.47
34,31.53,-103.45,1.03,0.01,0.0,1.0,0.0,31.53,-103.45,31.53,845.13,29.07,3.52,521.11,22.83,3.04,-0.67,-0.74
35,44.82,-103.45,0.98,-0.01,1.0,0.0,0.0,44.82,-103.45,44.82,1578.84,39.73,4.15,1181.39,34.37,3.86,-0.90,0.43
36,37.87,-100.94,1.17,0.07,0.0,1.0,0.0,37.87,-100.94,37.87,1160.96,34.07,3.84,1055.13,32.48,3.74,-0.77,-0.64
37,34.64,-98.43,1.17,0.07,0.0,1.0,0.0,34.64,-98.43,34.64,765.70,27.67,3.42,757.51,27.52,3.41,0.81,-0.58
38,41.25,-98.43,0.98,-0.01,0.0,1.0,0.0,41.25,-98.43,41.25,806.95,28.41,3.48,1239.60,35.21,3.90,0.71,-0.70
39,48.63,-98.43,0.63,-0.20,1.0,0.0,0.0,48.63,-98.43,48.63,466.25,21.59,2.93,1042.51,32.29,3.73,0.50,0.87
40,31.53,-95.92,1.12,0.05,0.0,1.0,0.0,31.53,-95.92,31.53,296.61,17.22,2.48,358.89,18.94,2.67,0.79,-0.62
41,34.64,-95.92,1.27,0.10,0.0,1.0,0.0,34.64,-95.92,34.64,275.19,16.59,2.41,588.41,24.26,3.16,0.64,-0.77
42,37.87,-95.92,1.23,0.09,0.0,1.0,0.0,37.87,-95.92,37.87,466.04,21.59,2.93,827.73,28.77,3.50,0.78,-0.63
43,41.25,-95.92,0.96,-0.02,1.0,1.0,0.0,41.25,-95.92,41.25,583.97,24.17,3.15,1102.80,33.21,3.79,0.59,-0.81
