region_id,centroid_x,centroid_y,Coal Deposits,Evaporites Deposits,Glacial Deposits,Elevation,Sqrt Elevation,Dist to Shore,Sqrt Dist,Sin Angle Shore,Cos Angle Shore
1,-62.55,-166.20,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.75,0.66
2,-69.02,-161.18,1.0,0.0,0.0,0.00,0.00,0.00,0.00,1.00,-0.03
3,-62.55,-161.18,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.80,0.60
4,-69.02,-158.67,1.0,0.0,0.0,0.00,0.00,0.00,0.00,1.00,0.02
5,-62.55,-158.67,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.81,0.58
6,-62.55,-156.16,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.82,0.57
7,-62.55,-153.65,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.83,0.56
8,-62.55,-146.12,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.02,1.00
9,69.02,-126.04,1.0,0.0,0.0,0.00,0.00,289.73,17.02,0.14,-0.99
10,69.02,-121.02,1.0,0.0,0.0,0.00,0.00,146.21,12.09,-0.20,-0.98
11,62.55,-85.88,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.90,-0.43
12,69.02,-85.88,1.0,0.0,0.0,1547.13,39.33,144.68,12.03,-0.87,-0.49
13,52.75,-83.37,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.82,0.57
14,57.32,-83.37,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.90,-0.44
15,62.55,-83.37,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.63,-0.78
16,57.32,-80.86,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.71,-0.70
17,57.32,-78.35,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.95,-0.30
18,37.87,-75.84,0.0,1.0,0.0,2417.71,49.17,110.02,10.49,-0.90,-0.44
19,25.59,-73.33,1.0,0.0,0.0,0.00,0.00,160.25,12.66,-0.93,-0.36
20,37.87,-73.33,1.0,0.0,0.0,3014.84,54.91,281.32,16.77,-0.83,-0.55
21,41.25,-73.33,1.0,0.0,0.0,1801.73,42.45,341.27,18.47,0.99,0.13
22,44.82,-73.33,1.0,0.0,0.0,2182.11,46.71,409.59,20.24,0.81,-0.59
23,34.64,-70.82,1.0,0.0,0.0,2582.05,50.81,343.48,18.53,1.00,0.01
24,37.87,-70.82,0.0,1.0,0.0,2172.55,46.61,244.42,15.63,0.94,0.34
25,41.25,-70.82,1.0,0.0,0.0,694.59,26.36,134.87,11.61,0.96,0.27
26,44.82,-70.82,1.0,0.0,0.0,1061.22,32.58,239.29,15.47,0.83,-0.56
27,48.63,-70.82,1.0,0.0,0.0,2544.42,50.44,450.66,21.23,1.00,0.05
28,52.75,-70.82,0.0,1.0,0.0,3393.63,58.25,550.84,23.47,0.99,-0.16
29,57.32,-70.82,1.0,1.0,0.0,3396.04,58.28,470.64,21.69,-1.00,0.08
30,31.53,-68.31,1.0,0.0,0.0,842.27,29.02,126.73,11.26,1.00,0.08
31,34.64,-68.31,1.0,1.0,0.0,1073.02,32.76,113.86,10.67,1.00,-0.02
32,37.87,-68.31,1.0,0.0,0.0,571.86,23.91,81.02,9.00,0.14,0.99
33,41.25,-68.31,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.98,-0.21
34,44.82,-68.31,1.0,0.0,0.0,400.00,20.00,73.97,8.60,0.95,-0.31
35,48.63,-68.31,1.0,0.0,0.0,1440.38,37.95,266.38,16.32,1.00,0.04
36,57.32,-68.31,1.0,0.0,0.0,2342.90,48.40,415.42,20.38,0.99,0.17
37,22.74,-65.80,1.0,0.0,0.0,872.62,29.54,146.12,12.09,0.71,0.71
38,31.53,-65.80,1.0,0.0,0.0,0.00,0.00,0.00,0.00,1.00,-0.05
39,34.64,-65.80,1.0,0.0,0.0,0.00,0.00,0.00,0.00,1.00,0.01
40,41.25,-65.80,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.85,0.53
41,48.63,-65.80,1.0,0.0,0.0,200.00,14.14,82.11,9.06,1.00,0.07
42,52.75,-65.80,1.0,0.0,0.0,487.84,22.09,228.32,15.11,0.87,-0.49
43,52.75,-63.29,1.0,0.0,0.0,200.00,14.14,86.99,9.33,1.00,-0.01
44,69.02,-63.29,1.0,0.0,0.0,337.38,18.37,38.29,6.19,0.58,-0.81
45,14.48,-60.78,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.79,0.61
46,17.19,-60.78,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.58,-0.81
47,37.87,-60.78,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-1.00,-0.03
48,44.82,-60.78,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.74,-0.67
49,57.32,-60.78,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.89,-0.45
50,17.19,-58.27,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.15,0.99
51,22.74,-58.27,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.81,0.58
52,48.63,-58.27,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.85,-0.53
53,-57.32,-55.76,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.92,-0.40
54,37.87,-55.76,1.0,0.0,0.0,0.00,0.00,52.49,7.24,-1.00,-0.01
55,34.64,-53.25,1.0,0.0,0.0,200.00,14.14,77.51,8.80,0.01,-1.00
56,-52.75,-50.74,1.0,1.0,0.0,1669.10,40.85,120.52,10.98,-0.93,0.36
57,-48.63,-50.74,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.75,0.66
58,-37.87,-50.74,1.0,0.0,0.0,0.00,0.00,68.49,8.28,1.00,-0.09
59,31.53,-50.74,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.80,-0.60
60,37.87,-50.74,1.0,0.0,0.0,200.00,14.14,384.71,19.61,-0.84,-0.55
61,48.63,-50.74,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.87,0.49
62,-52.75,-48.23,1.0,0.0,0.0,998.29,31.60,161.44,12.71,0.02,-1.00
63,-44.82,-48.23,0.0,1.0,0.0,909.57,30.16,71.95,8.48,-0.79,-0.61
64,-41.25,-48.23,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.66,0.75
65,-37.87,-48.23,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.99,0.11
